Name,Lat1,Lon1,Lat2,Lon2
"U409,EXT_CVPM21",35.231053,-119.087828,35.22738405,-119.0923196
"U409,INT_CVPM21",35.231053,-119.087828,35.22738405,-119.0833364
"WWP407,C73",35.75644143,-119.244377,35.325482,-119.21283
"WWP407,HGR20",35.75644143,-119.244377,35.771065,-119.292631
"WWP410,C73",35.36822003,-119.008242,35.325482,-119.21283
"WWP410,HGR21",35.36822003,-119.008242,35.238154,-119.030561
"A404A,HU404A",36.292647,-119.676232,36.35917,-119.682129
"A404B,HU404B",36.197525,-119.781651,36.187639,-119.756707
"A401,HU401",36.55257022,-119.74158,36.548962,-119.74158
"CVPM16S,HSD401",36.54535362,-119.7370884,36.55257022,-119.7325968
"HSU401C49,A401",36.54354936,-119.7325968,36.55257022,-119.74158
"HSU401C53,A401",36.54354936,-119.7325968,36.55257022,-119.74158
"HSU401D606,A401",36.54354936,-119.7325968,36.55257022,-119.74158
"HU401,CVPM16G",36.548962,-119.74158,36.54535362,-119.7460716
"HU401,CVPM16S",36.548962,-119.74158,36.54535362,-119.7370884
"A403,HU403",36.61914111,-119.32177,36.615536,-119.32177
"CVPM17S,HSD403",36.61193073,-119.3172784,36.61914111,-119.3127868
"HSU403C53,A403",36.61012803,-119.3127868,36.61914111,-119.32177
"HSU403C76,A403",36.61012803,-119.3127868,36.61914111,-119.32177
"HU403,CVPM17G",36.615536,-119.32177,36.61193073,-119.3262616
"HU403,CVPM17S",36.615536,-119.32177,36.61193073,-119.3172784
"A405,HU405",36.11682046,-119.192371,36.113192,-119.192371
"CVPM18S,HSD405",36.10956338,-119.1878794,36.11682046,-119.1833878
"HSU405C56,A405",36.107749,-119.1833878,36.11682046,-119.192371
"HSU405C58,A405",36.107749,-119.1833878,36.11682046,-119.192371
"HSU405C688,A405",36.107749,-119.1833878,36.11682046,-119.192371
"HU405,CVPM18G",36.113192,-119.192371,36.10956338,-119.1968626
"HU405,CVPM18S",36.113192,-119.192371,36.10956338,-119.1878794
"C49,C76",36.851027,-119.564242,36.622163,-119.305256
"C49,HAR16",36.851027,-119.564242,36.687767,-119.635936
"C49,HAR17",36.851027,-119.564242,36.643886,-119.483543
"C49,HSU401C49",36.851027,-119.564242,36.54354936,-119.7325968
"C49,HSU404AC49",36.851027,-119.564242,36.47826,-119.592785
"C49,WTP401",36.851027,-119.564242,36.75429037,-119.8129276
"C52,C59",36.38628,-119.785603,36.051739,-119.825585
"C52,HAR15",36.38628,-119.785603,36.345679,-119.85594
"C52,HSU404AC52",36.38628,-119.785603,36.355314,-119.751224
