Name,Type,Latitude,Longitude
PWP_Owens2,Power Plant,36.138543,-117.953717
SR_LA,Surface Storage,36.141032,-117.951616
D872,Junction,34.394393,-117.492089
GW_MJ,Groundwater Storage,34.7309139999999,-117.516995
HGPMJ,Junction,34.739368,-117.385247
HGRMJ,Junction,34.626077,-117.569211
PWP_Mojave,Power Plant,34.308496,-117.322361
SR_SLW,Surface Storage,34.302784,-117.318183
EXT_MR,Urban Demand,34.5230714811742,-117.306189576421
HNP505,Junction,34.5193707979374,-117.306189576421
HP505,Junction,34.5249217611389,-117.297206423579
HXI505,Junction,34.5249217611389,-117.306189576421
INT_MR,Urban Demand,34.5230714811742,-117.297206423579
U505,Junction,34.526772,-117.301698
WTP505,Water Treatment,34.5286221977562,-117.294960635369
WWP505,Water Treatment,34.5193707979374,-117.301698
A500,Junction,37.3558473601078,-118.402599
AgS_Owens,Agricultural Demand,37.3487064700746,-118.398107423579
HU500,Junction,37.352277,-118.402599
C116,Junction,37.4143,-118.523564
C120,Junction,37.412626,-118.404899
GW_OW,Groundwater Storage,37.378856,-118.414733
HAROW,Junction,37.384283,-118.42903
HGPOW,Junction,37.371154,-118.402979
PWP_Owens1,Power Plant,37.438938,-118.558496
SR_CRW,Surface Storage,37.587985,-118.707574
SR_GNT,Surface Storage,37.861928,-119.10298
SR_ML,Surface Storage,37.978925,-119.136983
SR_OL,Surface Storage,36.427721,-117.950493
A408A,Junction,35.367553,-119.398625
A408B,Junction,35.461837,-119.487267
A409A,Junction,35.184184,-118.869702
A409B,Junction,35.14979,-119.035894
A409C,Junction,35.138114,-119.12863
CVPM19AG,Agricultural Demand,35.3638902352376,-119.403116576421
CVPM19AS,Agricultural Demand,35.3638902352376,-119.394133423579
CVPM19BG,Agricultural Demand,35.4581785182622,-119.491758576421
CVPM19BS,Agricultural Demand,35.4581785182622,-119.482775423579
A407,Junction,35.6822504304181,-119.344236
CVPM20G,Agricultural Demand,35.6749534027659,-119.348727576421
CVPM20S,Agricultural Demand,35.6749534027659,-119.339744423579
HSD407,Junction,35.6822504304181,-119.335252847159
HSU407C63,Junction,35.6731290415951,-119.335252847159
HSU407C64,Junction,35.6731290415951,-119.335252847159
HSU407C65,Junction,35.6731290415951,-119.335252847159
HU407,Junction,35.678602,-119.344236
CVPM21AG,Agricultural Demand,35.1805129337778,-118.874193576421
CVPM21AS,Agricultural Demand,35.1805129337777,-118.865210423579
CVPM21BG,Agricultural Demand,35.1461173808822,-119.040385576421
CVPM21BS,Agricultural Demand,35.1461173808822,-119.031402423579
CVPM21CG,Agricultural Demand,35.1344408540094,-119.133121576421
CVPM21CS,Agricultural Demand,35.1344408540094,-119.124138423579
C62,Junction,35.560005,-119.247309
C64,Junction,35.600933,-119.462565
C65,Junction,35.431957,-118.945931
C689,Junction,35.389768,-119.089519
C73,Junction,35.325482,-119.21283
C74,Junction,35.359626,-119.117233
C95,Junction,35.325805,-119.408835
C97,Junction,35.431957,-118.945931
C98,Junction,35.047247,-118.877963
D752,Junction,35.29861,-119.345666
D847,Junction,35.718302,-120.005391
D850,Junction,35.558967,-119.667792
D851,Junction,35.466862,-119.637928
D853,Junction,35.36269,-119.488731
D855,Junction,35.281071,-119.323833
D859,Junction,35.261828,-119.307634
D860,Junction,35.090484,-119.332074
D861,Junction,35.072289,-119.150352
D862A,Junction,35.028653,-119.001879
D862B,Junction,34.964901,-118.911872
D863,Junction,35.024102,-118.986062
GW_19,Groundwater Storage,35.437278,-119.529869
GW_21,Groundwater Storage,35.262951,-119.088815
GW_KRN,Groundwater Storage,35.050838,-118.830299
HAR19,Junction,35.539585,-119.377529
HAR20,Junction,35.431482,-119.070655
HAR21,Junction,35.345914,-119.065284
HARKRN,Junction,35.033277,-118.767607
HGP19,Junction,35.491776,-119.528461
HGP20,Junction,35.761971,-119.274639
HGP21,Junction,35.225973,-119.071181
HGPKRN,Junction,35.029826,-118.837723
HGR19,Junction,35.430922,-119.512365
HGR20,Junction,35.771065,-119.292631
HGR21,Junction,35.238154,-119.030561
HSD21,Junction,35.364555,-119.187768
HSD408A,Junction,35.352772,-119.294069
HSD408B,Junction,35.4255410000001,-119.266075
HSD409B,Junction,35.299149,-119.167285
HSD409C,Junction,35.289613,-119.189395
HSR401,Junction,35.492691,-119.473314
HSU408AC74,Junction,35.4061080000001,-119.196464
HSU408AN10,Junction,35.471629,-119.429693
HSU408AN11,Junction,35.527321,-119.593604
HSU408AN12,Junction,35.508649,-119.551324
HSU408BC65,Junction,35.445205,-119.176799
HSU408BN10,Junction,35.463503,-119.447133
HSU408BN11,Junction,35.41593,-119.598998
HSU408BN12,Junction,35.482991,-119.491055
HSU409AC65,Junction,35.368324,-118.962797
HSU409AC68,Junction,35.331307,-118.998731
HSU409AC74,Junction,35.298837,-119.109922
HSU409BD86,Junction,35.088059,-118.995605
HSU409CD86,Junction,35.137583,-119.188578
HSUR401,Junction,35.587773,-119.510058
HU408A,Junction,35.413837,-119.379365
HU408B,Junction,35.469424,-119.468673
HU409A,Junction,35.171745,-118.913806
HU409B,Junction,35.149061,-119.049689
HU409C,Junction,35.117182,-119.129184
N10,Junction,35.567112,-119.411175
N11,Junction,35.370507,-119.758709
N12,Junction,35.572836,-119.490197
PMP_Buena,Pump Plant,35.158966,-119.344948
PMP_Edmons,Pump Plant,34.944971,-118.82593
PMP_Wheelr,Pump Plant,35.033408,-119.008437
PMPChris,Pump Plant,35.017257,-118.980479
R401,Junction,35.5073590000001,-119.457096
R_KER,Non-Standard Demand,35.748516,-119.616313
SR_BVLB,Surface Storage,35.224567,-119.262113
